Assumes 1 GHz with clock period of 1 ns or 1000 ps
count=         76 wc_time=         46 seconds, rt_time=     558000 ps, cycles/sec= 12.130435
count=         77 wc_time=         52 seconds, rt_time=     637000 ps, cycles/sec= 12.250000
count=         78 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=         79 wc_time=         51 seconds, rt_time=     635000 ps, cycles/sec= 12.450980
count=         80 wc_time=         52 seconds, rt_time=     637000 ps, cycles/sec= 12.250000
count=         81 wc_time=         49 seconds, rt_time=     597000 ps, cycles/sec= 12.183673
count=         82 wc_time=         54 seconds, rt_time=     643000 ps, cycles/sec= 11.907407
count=         83 wc_time=         56 seconds, rt_time=     679000 ps, cycles/sec= 12.125000
count=         84 wc_time=         54 seconds, rt_time=     638000 ps, cycles/sec= 11.814815
count=         85 wc_time=         48 seconds, rt_time=     594000 ps, cycles/sec= 12.375000
count=         86 wc_time=         42 seconds, rt_time=     522000 ps, cycles/sec= 12.428571
count=         87 wc_time=         52 seconds, rt_time=     638000 ps, cycles/sec= 12.269231
count=         88 wc_time=         49 seconds, rt_time=     599000 ps, cycles/sec= 12.224490
count=         89 wc_time=         47 seconds, rt_time=     597000 ps, cycles/sec= 12.702128
count=         90 wc_time=         52 seconds, rt_time=     635000 ps, cycles/sec= 12.211538
count=         91 wc_time=         45 seconds, rt_time=     556000 ps, cycles/sec= 12.355556
count=         92 wc_time=         52 seconds, rt_time=     643000 ps, cycles/sec= 12.365385
count=         93 wc_time=         44 seconds, rt_time=     558000 ps, cycles/sec= 12.681818
count=         94 wc_time=         49 seconds, rt_time=     602000 ps, cycles/sec= 12.285714
count=         95 wc_time=         52 seconds, rt_time=     636000 ps, cycles/sec= 12.230769
count=         96 wc_time=         56 seconds, rt_time=     671000 ps, cycles/sec= 11.982143
count=         97 wc_time=         50 seconds, rt_time=     596000 ps, cycles/sec= 11.920000
count=         98 wc_time=         53 seconds, rt_time=     642000 ps, cycles/sec= 12.113208
count=         99 wc_time=         49 seconds, rt_time=     597000 ps, cycles/sec= 12.183673
count=        100 wc_time=         49 seconds, rt_time=     602000 ps, cycles/sec= 12.285714
count=        101 wc_time=         55 seconds, rt_time=     638000 ps, cycles/sec= 11.600000
count=        102 wc_time=         45 seconds, rt_time=     552000 ps, cycles/sec= 12.266667
count=        103 wc_time=         52 seconds, rt_time=     639000 ps, cycles/sec= 12.288462
count=        104 wc_time=         49 seconds, rt_time=     598000 ps, cycles/sec= 12.204082
count=        105 wc_time=         47 seconds, rt_time=     563000 ps, cycles/sec= 11.978723
count=        106 wc_time=         46 seconds, rt_time=     559000 ps, cycles/sec= 12.152174
count=        107 wc_time=         43 seconds, rt_time=     522000 ps, cycles/sec= 12.139535
count=        108 wc_time=         48 seconds, rt_time=     594000 ps, cycles/sec= 12.375000
count=        109 wc_time=         50 seconds, rt_time=     596000 ps, cycles/sec= 11.920000
count=        110 wc_time=         52 seconds, rt_time=     631000 ps, cycles/sec= 12.134615
count=        111 wc_time=         49 seconds, rt_time=     600000 ps, cycles/sec= 12.244898
count=        112 wc_time=         50 seconds, rt_time=     600000 ps, cycles/sec= 12.000000
count=        113 wc_time=         46 seconds, rt_time=     561000 ps, cycles/sec= 12.195652
count=        114 wc_time=         45 seconds, rt_time=     559000 ps, cycles/sec= 12.422222
count=        115 wc_time=         48 seconds, rt_time=     596000 ps, cycles/sec= 12.416667
count=        116 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=        117 wc_time=         48 seconds, rt_time=     594000 ps, cycles/sec= 12.375000
count=        118 wc_time=         54 seconds, rt_time=     636000 ps, cycles/sec= 11.777778
count=        119 wc_time=         42 seconds, rt_time=     521000 ps, cycles/sec= 12.404762
count=        120 wc_time=         45 seconds, rt_time=     556000 ps, cycles/sec= 12.355556
count=        121 wc_time=         48 seconds, rt_time=     601000 ps, cycles/sec= 12.520833
count=        122 wc_time=         48 seconds, rt_time=     600000 ps, cycles/sec= 12.500000
count=        123 wc_time=         54 seconds, rt_time=     675000 ps, cycles/sec= 12.500000
count=        124 wc_time=         52 seconds, rt_time=     643000 ps, cycles/sec= 12.365385
count=        125 wc_time=         49 seconds, rt_time=     602000 ps, cycles/sec= 12.285714
count=        126 wc_time=         44 seconds, rt_time=     553000 ps, cycles/sec= 12.568182
count=        127 wc_time=         52 seconds, rt_time=     637000 ps, cycles/sec= 12.250000
count=        128 wc_time=         46 seconds, rt_time=     560000 ps, cycles/sec= 12.173913
count=        129 wc_time=         49 seconds, rt_time=     601000 ps, cycles/sec= 12.265306
count=        130 wc_time=         49 seconds, rt_time=     595000 ps, cycles/sec= 12.142857
count=        131 wc_time=         45 seconds, rt_time=     554000 ps, cycles/sec= 12.311111
count=        132 wc_time=         49 seconds, rt_time=     600000 ps, cycles/sec= 12.244898
count=        133 wc_time=         51 seconds, rt_time=     639000 ps, cycles/sec= 12.529412
count=        134 wc_time=         46 seconds, rt_time=     554000 ps, cycles/sec= 12.043478
count=        135 wc_time=         54 seconds, rt_time=     639000 ps, cycles/sec= 11.833333
count=        136 wc_time=         46 seconds, rt_time=     561000 ps, cycles/sec= 12.195652
count=        137 wc_time=         49 seconds, rt_time=     600000 ps, cycles/sec= 12.244898
count=        138 wc_time=         52 seconds, rt_time=     634000 ps, cycles/sec= 12.192308
count=        139 wc_time=         45 seconds, rt_time=     559000 ps, cycles/sec= 12.422222
count=        140 wc_time=         42 seconds, rt_time=     511000 ps, cycles/sec= 12.166667
count=        141 wc_time=         45 seconds, rt_time=     564000 ps, cycles/sec= 12.533333
count=        142 wc_time=         45 seconds, rt_time=     556000 ps, cycles/sec= 12.355556
count=        143 wc_time=         45 seconds, rt_time=     556000 ps, cycles/sec= 12.355556
count=        144 wc_time=         45 seconds, rt_time=     559000 ps, cycles/sec= 12.422222
count=        145 wc_time=         49 seconds, rt_time=     602000 ps, cycles/sec= 12.285714
count=        146 wc_time=         48 seconds, rt_time=     600000 ps, cycles/sec= 12.500000
count=        147 wc_time=         52 seconds, rt_time=     639000 ps, cycles/sec= 12.288462
count=        148 wc_time=         47 seconds, rt_time=     595000 ps, cycles/sec= 12.659574
count=        149 wc_time=         42 seconds, rt_time=     514000 ps, cycles/sec= 12.238095
count=        150 wc_time=         45 seconds, rt_time=     557000 ps, cycles/sec= 12.377778
count=        151 wc_time=         49 seconds, rt_time=     599000 ps, cycles/sec= 12.224490
count=        152 wc_time=         53 seconds, rt_time=     638000 ps, cycles/sec= 12.037736
count=        153 wc_time=         45 seconds, rt_time=     564000 ps, cycles/sec= 12.533333
count=        154 wc_time=         49 seconds, rt_time=     598000 ps, cycles/sec= 12.204082
count=        155 wc_time=         45 seconds, rt_time=     560000 ps, cycles/sec= 12.444444
count=        156 wc_time=         44 seconds, rt_time=     552000 ps, cycles/sec= 12.545455
count=        157 wc_time=         55 seconds, rt_time=     677000 ps, cycles/sec= 12.309091
count=        158 wc_time=         48 seconds, rt_time=     601000 ps, cycles/sec= 12.520833
count=        159 wc_time=         48 seconds, rt_time=     594000 ps, cycles/sec= 12.375000
count=        160 wc_time=         49 seconds, rt_time=     599000 ps, cycles/sec= 12.224490
count=        161 wc_time=         51 seconds, rt_time=     638000 ps, cycles/sec= 12.509804
count=        162 wc_time=         48 seconds, rt_time=     600000 ps, cycles/sec= 12.500000
count=        163 wc_time=         49 seconds, rt_time=     602000 ps, cycles/sec= 12.285714
count=        164 wc_time=         51 seconds, rt_time=     638000 ps, cycles/sec= 12.509804
count=        165 wc_time=         46 seconds, rt_time=     557000 ps, cycles/sec= 12.108696
count=        166 wc_time=         44 seconds, rt_time=     551000 ps, cycles/sec= 12.522727
count=        167 wc_time=         48 seconds, rt_time=     601000 ps, cycles/sec= 12.520833
count=        168 wc_time=         44 seconds, rt_time=     556000 ps, cycles/sec= 12.636364
count=        169 wc_time=         52 seconds, rt_time=     597000 ps, cycles/sec= 11.480769
count=        170 wc_time=         41 seconds, rt_time=     516000 ps, cycles/sec= 12.585366
count=        171 wc_time=         53 seconds, rt_time=     644000 ps, cycles/sec= 12.150943
count=        172 wc_time=         52 seconds, rt_time=     640000 ps, cycles/sec= 12.307692
count=        173 wc_time=         48 seconds, rt_time=     595000 ps, cycles/sec= 12.395833
count=        174 wc_time=         45 seconds, rt_time=     557000 ps, cycles/sec= 12.377778
count=        175 wc_time=         49 seconds, rt_time=     598000 ps, cycles/sec= 12.204082
count=        176 wc_time=         51 seconds, rt_time=     638000 ps, cycles/sec= 12.509804
count=        177 wc_time=         48 seconds, rt_time=     597000 ps, cycles/sec= 12.437500
count=        178 wc_time=         49 seconds, rt_time=     602000 ps, cycles/sec= 12.285714
count=        179 wc_time=         48 seconds, rt_time=     594000 ps, cycles/sec= 12.375000
count=        180 wc_time=         49 seconds, rt_time=     602000 ps, cycles/sec= 12.285714
count=        181 wc_time=         46 seconds, rt_time=     563000 ps, cycles/sec= 12.239130
count=        182 wc_time=         45 seconds, rt_time=     553000 ps, cycles/sec= 12.288889
count=        183 wc_time=         52 seconds, rt_time=     637000 ps, cycles/sec= 12.250000
count=        184 wc_time=         48 seconds, rt_time=     595000 ps, cycles/sec= 12.395833
count=        185 wc_time=         54 seconds, rt_time=     677000 ps, cycles/sec= 12.537037
count=        186 wc_time=         51 seconds, rt_time=     605000 ps, cycles/sec= 11.862745
count=        187 wc_time=         44 seconds, rt_time=     555000 ps, cycles/sec= 12.613636
count=        188 wc_time=         56 seconds, rt_time=     678000 ps, cycles/sec= 12.107143
count=        189 wc_time=         55 seconds, rt_time=     680000 ps, cycles/sec= 12.363636
